,title,uploaded_at,duration,views,likes,comments
0,Eminem - Won't Back Down (Ft. P!nk) [Lyric Video] ft. P!nk,2022-09-12T16:00:13Z,PT4M26S,3423393,178393,8380
1,"Eminem, 50 Cent - Is This Love ('09) [Visualizer]",2022-09-06T16:00:31Z,PT3M34S,4607678,232927,8769
2,"Eminem, Snoop Dogg - From The D 2 The LBC (VMAs)",2022-09-05T18:48:18Z,PT4M29S,1434605,103251,5075
3,Eminem - Rap God (Mr. Cii Remix) [Official Audio],2022-08-11T01:13:13Z,PT6M17S,1488472,86124,5743
4,Eminem ft. 50 Cent - Is This Love (’09) [Official Audio],2022-08-11T01:12:24Z,PT3M33S,2036585,97166,5129
5,Eminem - Cinderella Man (Lyric Video),2022-08-10T16:00:41Z,PT4M39S,4949955,253439,9252
6,"Eminem, Dr. Dre, & 50 Cent - Crack A Bottle [Official Video]",2022-08-01T16:00:22Z,PT5M4S,7365081,349434,14778
7,Eminem & Snoop Dogg Interview | Forgotten Beach Scene,2022-07-25T15:28:04Z,PT51S,879189,82774,1274
8,Eminem & Snoop Dogg - From The D 2 The LBC [Official Music Video],2022-06-24T04:00:15Z,PT4M47S,64436770,2253151,96951
9,"Eminem ft. CeeLo Green - ""The King And I""",2022-06-16T17:25:04Z,PT3M14S,4390959,208510,16231
10,Eminem - Replacement for White America,2022-01-28T19:21:21Z,PT5M57S,10,5055,282
11,Eminem - Replacement for Superman,2022-01-28T19:21:14Z,PT4M47S,2,1358,0
12,Eminem - Replacement for Sing For The Moment,2022-01-28T19:21:14Z,PT5M26S,4,1538,0
13,Eminem - Replacement for Cleanin' Out My Closet,2022-01-28T19:21:13Z,PT5M13S,20,1058,0
14,50 million subscribers and counting,2022-01-11T17:01:34Z,PT47S,5432320,543940,11790
15,"Skylar Grey, Polo G, Mozzy, Eminem - Last One Standing (Lyric Video)",2021-10-19T16:00:02Z,PT4M18S,38806154,761864,18211
16,Eminem - Replacement for 21 Questions,2021-10-13T16:59:48Z,PT4M19S,0,6346,0
17,Eminem - Venom (Remix/Audio),2021-10-07T01:42:30Z,PT4M20S,8811438,346394,15512
18,"Skylar Grey - Last One Standing ft. Polo G, Mozzy, & Eminem [Official Audio]",2021-09-30T04:00:13Z,PT4M18S,32573760,822247,38575
19,"Mom's Spaghetti Restaurant - Opening 9/29/21 - Detroit, MI",2021-09-28T00:02:11Z,PT31S,2392405,142407,8764
20,"Eminem - Killer (Remix) [Official Audio] ft. Jack Harlow, Cordae",2021-05-28T04:00:12Z,PT3M57S,24390635,584977,35900
21,Eminem - Alfred's Theme (Lyric Video),2021-05-05T16:00:26Z,PT5M41S,12127867,416891,23765
