,title,uploaded_at,duration,views,likes,comments,channel
0,Eminem - Won't Back Down (Ft. P!nk) [Lyric Video] ft. P!nk,2022-09-12 16:00:13,4.43,3423393.0,178393.0,8380,EminemMusic
1,"Eminem, 50 Cent - Is This Love ('09) [Visualizer]",2022-09-06 16:00:31,3.57,4607678.0,232927.0,8769,EminemMusic
2,"Eminem, Snoop Dogg - From The D 2 The LBC (VMAs)",2022-09-05 18:48:18,4.48,1434605.0,103251.0,5075,EminemMusic
3,Eminem - Rap God (Mr. Cii Remix) [Official Audio],2022-08-11 01:13:13,6.28,1488472.0,86124.0,5743,EminemMusic
4,Eminem ft. 50 Cent - Is This Love (’09) [Official Audio],2022-08-11 01:12:24,3.55,2036585.0,97166.0,5129,EminemMusic
5,Eminem - Cinderella Man (Lyric Video),2022-08-10 16:00:41,4.65,4949955.0,253439.0,9252,EminemMusic
6,"Eminem, Dr. Dre, & 50 Cent - Crack A Bottle [Official Video]",2022-08-01 16:00:22,5.07,7365081.0,349434.0,14778,EminemMusic
7,Eminem & Snoop Dogg Interview | Forgotten Beach Scene,2022-07-25 15:28:04,0.85,879189.0,82774.0,1274,EminemMusic
8,Eminem & Snoop Dogg - From The D 2 The LBC [Official Music Video],2022-06-24 04:00:15,4.78,64436770.0,2253151.0,96951,EminemMusic
9,"Eminem ft. CeeLo Green - ""The King And I""",2022-06-16 17:25:04,3.23,4390959.0,208510.0,16231,EminemMusic
10,Eminem - Replacement for White America,2022-01-28 19:21:21,5.95,10.0,5055.0,282,EminemMusic
11,Eminem - Replacement for Superman,2022-01-28 19:21:14,4.78,2.0,1358.0,0,EminemMusic
12,Eminem - Replacement for Sing For The Moment,2022-01-28 19:21:14,5.43,4.0,1538.0,0,EminemMusic
13,Eminem - Replacement for Cleanin' Out My Closet,2022-01-28 19:21:13,5.22,20.0,1058.0,0,EminemMusic
14,50 million subscribers and counting,2022-01-11 17:01:34,0.78,5432320.0,543940.0,11790,EminemMusic
15,"Skylar Grey, Polo G, Mozzy, Eminem - Last One Standing (Lyric Video)",2021-10-19 16:00:02,4.3,38806154.0,761864.0,18211,EminemMusic
16,Eminem - Replacement for 21 Questions,2021-10-13 16:59:48,4.32,0.0,6346.0,0,EminemMusic
17,Eminem - Venom (Remix/Audio),2021-10-07 01:42:30,4.33,8811438.0,346394.0,15512,EminemMusic
18,"Skylar Grey - Last One Standing ft. Polo G, Mozzy, & Eminem [Official Audio]",2021-09-30 04:00:13,4.3,32573760.0,822247.0,38575,EminemMusic
19,"Mom's Spaghetti Restaurant - Opening 9/29/21 - Detroit, MI",2021-09-28 00:02:11,0.52,2392405.0,142407.0,8764,EminemMusic
20,"Eminem - Killer (Remix) [Official Audio] ft. Jack Harlow, Cordae",2021-05-28 04:00:12,3.95,24390635.0,584977.0,35900,EminemMusic
21,Eminem - Alfred's Theme (Lyric Video),2021-05-05 16:00:26,5.68,12127867.0,416891.0,23765,EminemMusic
22,Eminem - Tone Deaf (Lyric Video),2021-03-05 19:40:13,5.03,20160207.0,888368.0,82945,EminemMusic
23,Eminem - Higher (Official Video) Explicit,2021-01-23 19:36:17,5.6,30975290.0,1327233.0,75133,EminemMusic
24,Eminem - Godzilla (Lyric Video) ft. Juice WRLD,2020-03-04 05:00:00,3.55,54501622.0,1334715.0,44725,EminemMusic
25,Premonition - Intro [Official Audio],2020-01-28 13:50:21,2.9,17554164.0,201034.0,8421,EminemMusic
26,Unaccommodating (feat. Young M.A) [Official Audio],2020-01-28 13:50:16,3.62,17370237.0,184664.0,10702,EminemMusic
27,"You Gon' Learn (feat. Royce Da 5'9"" & White Gold) [Official Audio]",2020-01-28 13:50:08,3.92,21992238.0,199952.0,8154,EminemMusic
28,In Too Deep [Official Audio],2020-01-28 13:50:00,3.25,8204476.0,83101.0,2659,EminemMusic
